,產品代碼,評分,品牌代碼,圖片,商品標題,適用年齡,商品種類,成分1,成分2,成分3,成分4,成分5,成分6,成分7,成分8,成分9,成分10,成分11,成分12,成分13,成分14,成分15
0,AF1,1.0090870648992227,AF,10_15-21-39-15.jpg,AFreschi 艾富鮮 小春日和 貓主食罐 貓咪 主食罐 貓罐 80g，雞肉、鮪魚、鮭魚,成貓,主食罐,雞肉,鮪魚,鮭魚,雞湯,鮪魚湯,葛粉,魚油,洋菜,牛磺酸,碳酸鈣,綜合維生素,B群,維生素E,,
1,AF2,0.8242623927013166,AF,10_15-21-39-15.jpg,AFreschi 艾富鮮 小春日和 貓主食罐 貓咪 主食罐 貓罐 80g，雞肉、鮪魚、巴沙魚,成貓,主食罐,雞肉,鮪魚,巴沙魚,雞湯,鮪魚湯,葛粉,魚油,洋菜,牛磺酸,碳酸鈣,綜合維生素,B群,維生素E,,
2,AF3,0.8071973713742019,AF,10_15-21-39-15.jpg,AFreschi 艾富鮮 小春日和 貓主食罐 貓咪 主食罐 貓罐 80g，雞肉、鮪魚、起司,成貓,主食罐,雞肉,鮪魚,雞湯,鮪魚湯,巧達乳酪,葛粉,魚油,洋菜,牛磺酸,碳酸鈣,綜合維生素,B群,維生素E,,
3,AF4,0.8055765829559038,AF,10_15-21-39-15.jpg,AFreschi 艾富鮮 小春日和 貓主食罐 貓咪 主食罐 貓罐 80g，雞肉、鮪魚、南瓜,成貓,主食罐,雞肉,鮪魚,雞湯,鮪魚湯,南瓜,葛粉,魚油,洋菜,牛磺酸,碳酸鈣,綜合維生素,B群,維生素E,,
4,AH1,0.6604689514034234,AH,28_15-21-39-45.jpg,超越巔峰主食貓罐 雞肉/鮭魚/鮪魚/龍蝦/鵪鶉蛋/魚子醬 80g 貓咪罐頭 挑嘴貓 主食罐頭，野牧鮮雞佐國王鮭,成貓,主食罐,雞肉絲,雞心,雞肝,雞胗,鮭魚,水,木薯粉,瓜爾豆膠,維生素E,果寡糖,牛磺酸,,,,
5,AH2,0.4249395544143468,AH,28_15-21-39-45.jpg,超越巔峰主食貓罐 雞肉/鮭魚/鮪魚/龍蝦/鵪鶉蛋/魚子醬 80g 貓咪罐頭 挑嘴貓 主食罐頭，野牧鮮雞佐魚子醬,成貓,主食罐,雞肉絲,雞心,雞肝,雞胗,魚卵,水,木薯粉,瓜爾豆膠,維生素E,果寡糖,牛磺酸,,,,
6,AH3,0.4765161980045682,AH,28_15-21-39-45.jpg,超越巔峰主食貓罐 雞肉/鮭魚/鮪魚/龍蝦/鵪鶉蛋/魚子醬 80g 貓咪罐頭 挑嘴貓 主食罐頭，野牧鮮雞佐貝類,成貓,主食罐,雞肉絲,雞心,雞肝,雞胗,貝類,水,木薯粉,瓜爾豆膠,維生素E,果寡糖,牛磺酸,,,,
7,AH4,0.4277901402375898,AH,28_15-21-39-45.jpg,超越巔峰主食貓罐 雞肉/鮭魚/鮪魚/龍蝦/鵪鶉蛋/魚子醬 80g 貓咪罐頭 挑嘴貓 主食罐頭，野牧鮮雞佐鵪鶉蛋,成貓,主食罐,雞肉絲,雞心,雞肝,雞胗,鵪鶉蛋,水,木薯粉,瓜爾豆膠,維生素E,果寡糖,牛磺酸,,,,
8,As1,0.05466255253668425,As,2_15-21-45-36.jpg,【A star】貓專用 高濃度離胺酸－60G 貓保健 貓保健食品 貓咪保健(F952B03),全齡貓,保健食品,離胺酸,卵磷脂,鳳梨粉,麥芽糊精,乳糖,牛磺酸,凍乾雞肉粉,,,,,,,,
9,CB1,0.991735617577018,CB,12_15-21-41-45.jpg,貓寶 SS60 天然無穀頂級貓糧 3磅/6磅/22磅 寵物飼料 貓咪飼料 貓飼料 幼貓飼料 成貓飼料 高齡貓飼料 貓糧,老齡貓,飼料,雞肉,火雞肉,鴨肉,樹薯,碗豆,鷹嘴豆,雞油,芥花油,鮭魚油,脫水甜菜,水解雞肝,脫水干貝,芝麻,酵母粉,有機蔬果
10,CB2,0.5104253279409477,CB,12_15-21-41-45.jpg,貓寶 SS60 天然無穀頂級貓糧 3磅/6磅/22磅 寵物飼料 貓咪飼料 貓飼料 幼貓飼料 成貓飼料 高齡貓飼料 貓糧,老齡貓,飼料,海洋魚,碗豆,樹薯,鷹嘴豆,雞肉,雞油,芥花油,鮭魚油,脫水甜菜,水解雞肝,脫水干貝,芝麻,酵母粉,有機蔬果,必须礦物質
11,CG1,0.824744671241608,CG,1_15-21-41-25.jpg,Cat Glory 驕傲貓 無穀羊雞肉低敏化毛配方3磅/6磅 貓咪飼料 成貓飼料 幼貓飼料 高齡貓飼料 無穀飼料貓飼料,全齡貓,飼料,羊肉,雞肉,蕃藷,鷹嘴豆,雞脂肪,天然香料,椰子油,甜菜漿,Omega 3,Omega 6,混合魚油,膳食纖維,氯化銨,氯化鉀,完全維生素
12,CG2,0.09057986273439682,CG,1_15-21-45-35.jpg,【CatGlory 驕傲貓】貓專用 泌尿護理粉 60g 貓保健 泌尿保健 貓咪保健食品(F912B03),全齡貓,保健食品,日本食用活性碳,有機蔓越莓,鳳梨粉,麥芽糊精,乳糖,酵母粉,酪酸菌,鼠李糖乳桿菌,牛磺酸,黃地瓜粉,凍乾雞肉粉,,,,
13,CG3,0.0951910030992755,CG,3_15-21-45-37.jpg,【CatGlory 驕傲貓】貓專用 鱉蛋亮毛粉 60g 貓保健 皮膚保健 毛髮保健 貓咪保健食品(F912B01),全齡貓,保健食品,鱉蛋粉,水解膠原蛋白,卵磷脂,鳳梨粉,麥芽糊精,乳糖,酵母粉,酪酸菌,甘胺酸亞鐵,維生素C,維生素D,凍乾雞肉粉,,,
14,CK1,0.46061898534790124,CK,19_15-21-39-30.jpg,【喵皇奴】貓咪主食餐包，4種口味，320g，台灣製(單包) (10折)，純雞肉,全齡貓,主食罐,雞肉,水,雞心肝,雞油,綜合維生素,乳化劑,增稠劑,碳酸鈣,水解蛋白,魚油,碘鹽,洋車前子,南瓜,綜合胺基酸,牛磺酸
15,CK2,0.703437975180209,CK,19_15-21-39-30.jpg,【喵皇奴】貓咪主食餐包，4種口味，320g，台灣製(單包) (10折)，雞肉+牛肉,全齡貓,主食罐,雞肉,水,牛肉,雞心肝,雞油,綜合維生素,乳化劑,增稠劑,碳酸鈣,水解蛋白,魚油,碘鹽,洋車前子,南瓜,綜合胺基酸
16,CK3,0.7441041392742178,CK,19_15-21-39-30.jpg,【喵皇奴】貓咪主食餐包，4種口味，320g，台灣製(單包) (10折)，雞肉+鮭魚,全齡貓,主食罐,雞肉,水,鮭魚,雞心肝,雞油,綜合維生素,乳化劑,增稠劑,碳酸鈣,水解蛋白,魚油,碘鹽,洋車前子,南瓜,綜合胺基酸
17,CK4,0.6852650586231904,CK,19_15-21-39-30.jpg,【喵皇奴】貓咪主食餐包，4種口味，320g，台灣製(單包) (10折)雞肉+鵪鶉,全齡貓,主食罐,雞肉,水,鵪鶉,雞心肝,雞油,綜合維生素,乳化劑,增稠劑,碳酸鈣,水解蛋白,魚油,碘鹽,洋車前子,南瓜,綜合胺基酸
18,CP1,0.5396240052603171,CP,6_15-21-39-09.jpg,【貓侍Catpool 食補罐 甲魚食補主食罐】80g/罐 貓罐 AAFCO營養標準 貓咪罐頭 (5.3折) 雞肉+甲魚精+甲魚,全齡貓,主食罐,土雞肉,甲魚肉,水,甲魚精,洋車前子,牛磺酸,甲魚蛋,雞肝,甲魚油,,,,,,
19,CP10,0.7488576584587181,CP,3_15-22-03-40.jpg,貓侍Catpool 馬卡龍系列 貓咪水分補給副食罐 全魚宴 85g,成貓,副食罐,鮪魚,鮭魚,增稠劑,維生素E,,,,,,,,,,,
20,CP11,0.6835778008926132,CP,3_15-22-03-40.jpg,貓侍Catpool 馬卡龍系列 貓咪水分補給副食罐 海鮮盛宴 85g,成貓,副食罐,鮪魚,蝦,增稠劑,維生素,礦物質,,,,,,,,,,
21,CP8,0.46409104775476673,CP,3_15-22-03-40.jpg,貓侍Catpool 馬卡龍系列 貓咪水分補給副食罐 美味雞肉煲85g,成貓,副食罐,雞肉,增稠劑,纖維膠,維生素,礦物質,,,,,,,,,,
22,CP9,0.44208474174572093,CP,3_15-22-03-40.jpg,貓侍Catpool 馬卡龍系列 貓咪水分補給副食罐 香雞鮪魚燉牛肝 85g,成貓,副食罐,(雞肉提取物、牛肝及鮪魚提取物),增稠劑,維生素及礦物質,膠凝劑,牛磺酸,,,,,,,,,,
23,CS1,0.32294967737615143,CS,24_15-21-39-40.jpg,《Chicken Soup for the Soul》心靈雞湯 貓咪主食貓罐 幼母貓 成貓 全齡貓 156g【培菓寵物】，雞肉、火雞肉,幼貓,主食罐,鮮雞肉,鮮雞肝,鮮鮭魚,鮮火雞肉,雞肉高湯,火雞肉高湯,鮮鴨,蛋製品,全穀糙米,亞麻籽,燕麥片,胡蘿蔔,豌豆,氯化鉀,鹽
24,CS2,0.44477988514419287,CS,24_15-21-39-40.jpg,《Chicken Soup for the Soul》心靈雞湯 貓咪主食貓罐 幼母貓 成貓 全齡貓 156g【培菓寵物】,老齡貓,主食罐,鮮海魚,雞肉清湯,火雞肉清湯,鮮雞肉,鮮雞肝,全穀糙米,蛋製品,鮮鮭魚,鮮火雞肉,鮮鴨,胡蘿蔔,豌豆,亞麻籽,粉狀纖維素,燕麥片
25,CS3,0.2927502417937879,CS,24_15-21-39-40.jpg,《Chicken Soup for the Soul》心靈雞湯 貓咪主食貓罐 幼母貓 成貓 全齡貓 156g【培菓寵物】，雞肉、鮭魚,成貓,主食罐,鮮雞肉,鮮雞肝,雞肉高湯,火雞肉高湯,鮮鮭魚,鮮火雞肉,鮮鴨,蛋製品,全穀糙米,亞麻籽,燕麥片,胡蘿蔔,豌豆,氯化鉀,鹽
26,DCS1,0.8172155010048028,DCS,14_15-21-39-20.jpg,【汪喵星球】貓咪98%鮮肉無膠主食罐 單罐80g 貓罐 貓主食 無膠 低敏鴨肉,成貓,主食罐,鴨肉,雞肉,雞心肝,雞蛋黃,黃蓮花金蜆(含天然牛磺酸及Omega-3),天然魚油(富含Omega-3、DHA&EPA),小麥草,海藻,磷酸鈣,碳酸鈣,維生素(維生素B、維生素E、維生素D),綜合礦物質,牛磺酸,,
27,DCS10,0.22542384919772607,DCS,DCS10.PNG,汪喵星球-免疫力提升保養粉(50顆) X 1入,全齡貓,保健食品,高濃度有機褐藻醣膠,"B-1,3-1,6葡聚醣",黑酵母乳鐵蛋白,KT-11捲曲乳桿菌 Lactobacillus crispatus,膳食纖維,,,,,,,,,,
28,DCS12,0.03293750816767936,DCS,DCS12.PNG,『寵喵樂旗艦店』DogCatStar汪喵星球 泌尿道健康保養粉50顆·犬貓營養品,全齡貓,保健食品,蔓越莓萃取物,N-乙醯葡萄糖胺,GABA,玻尿酸,色胺酸,,,,,,,,,,
29,DCS15,0.09063971215822489,DCS,DCS15.PNG,【汪喵星球】汪喵星球 皮膚益生菌 盒裝30包 2gx30包 益生菌 X 護膚營養 舒緩敏感更有感 新改版 配方升級,全齡貓,保健食品,LP28益生菌,Danisco鼠李糖桿菌,神經醯胺,酵母鋅,"B-1,3-1,6葡聚醣",水解膠原蛋白胜肽,生物素,,,,,,,,
30,DCS2,0.6830557354779235,DCS,14_15-21-39-20.jpg,【汪喵星球】貓咪98%鮮肉無膠主食罐 單罐80g  貓罐 貓主食 無膠 田園火雞,成貓,主食罐,火雞肉,雞心肝,雞蛋黃,紐西蘭綠貽貝(含天然軟骨素及葡萄糖胺),天然魚油(富含Omega-3、DHA&EPA),小麥草,海藻,磷酸鈣,碳酸鈣,維生素(維生素B、維生素E、維生素D),綜合礦物質,牛磺酸,,,
31,DCS20,0.2560968740297274,DCS,DCS20.PNG,【汪喵星球】原味腸胃益生菌,全齡貓,保健食品,芽孢乳酸桿菌L.sporogene,比菲德氏龍根菌(B.longum),嗜酸乳桿菌(L.acidophilus),發酵乳桿菌(L.fermentum),瑞士乳桿菌(L.helvetics),副乾酪乳桿菌(L.paracasei),鼠李糖乳菌(L.reuteri),噬熱鏈球菌(Streptococcsthermopls),乳酸菌益源質,酵素,菊苣纖維,膳食纖維,維生素E,,
32,DCS23,0.6411536403362221,DCS,DCS23.PNG,【毛豆寵物】汪喵星球 幼母貓98% 鮮嫩雞餐 營養無膠主食罐 80g,幼貓,主食罐,雞肉,雞肝,雞蛋黃,天然魚油(富含Omega-3、DHA&EPA),海藻,磷酸鈣,愛爾蘭海藻鈣,維生素(維生素B、維生素E、維生素D),綜合礦物質,牛磺酸,"B-1,3-1,6葡聚醣",洋車前子膳食纖維,,,
33,DCS26,0.6451060696140267,DCS,DCS26.PNG,汪喵星球98%低磷無膠老貓營養主食罐80G 鹿野土雞餐,老齡貓,主食罐,土雞肉,雞肝,雞蛋黃,天然魚油(富含Omega-3、DHA&EPA),朝鮮薊,磷酸鈣,維生素(維生素B、維生素E、維生素D),,有機礦物質,中鍵脂肪酸,美國專利軟骨素,牛磺酸,洋車前子膳食纖維,,
34,DCS3,0.5893942804583312,DCS,14_15-21-39-20.jpg,【汪喵星球】貓咪98%鮮肉無膠主食罐 單罐80g  貓罐 貓主食 無膠 草飼牛肉,成貓,主食罐,草飼牛肉,雞肉,雞心肝,雞蛋黃,紐西蘭綠貽貝(含天然軟骨素及葡萄糖胺),天然魚油(富含Omega-3、DHA&EPA),小麥草,海藻,磷酸鈣,碳酸鈣,維生素(維生素B、維生素E、維生素D),綜合礦物質,牛磺酸,,
35,DCS4,0.4481831663818045,DCS,6_15-21-41-33.jpg,【營養方便！汪喵星球 貓咪冷凍乾燥生食80g 安心雞 櫻桃鴨】 凍乾 飼料 ,全齡貓,飼料,雞腿,雞心肝,雞蛋黃,天然魚油(富含Omega-3、DHA&EPA),洋車前子膳食纖維,牛磺酸,綜合礦物質,鼠尾草籽,,巴西利,海藻,專利破壁小球藻,天然維生素E,維生素B群,
36,DCS6,0.4978828829383715,DCS,12_15-21-39-17.jpg,汪喵星球 低脂罐 貓咪 低卡主食罐 貓罐 80g 清爽雞肉泥,成貓,主食罐,雞胸,雞腿,雞心肝,雞蛋黃,天然魚油(富含Omega-3、DHA&EPA),,磷酸鈣,碳酸鈣,維生素(維生素B群、維生素A、維生素E、維生素D),綜合礦物質,牛磺酸,洋車前子膳食纖維,,,
37,DCS7,0.6507790946152829,DCS,12_15-21-39-17.jpg,汪喵星球 低脂罐 貓咪 低卡主食罐 貓罐 80g 元氣草飼牛,成貓,主食罐,雞胸,雞腿,牛肉,雞心肝,雞蛋黃,天然魚油(富含Omega-3、DHA&EPA),海藻,薑黃,磷酸鈣,碳酸鈣,維生素(維生素B群、維生素A、維生素E、維生素D),牛磺酸,洋車前子膳食纖維,,
38,DD1,0.5998826139006316,DD,29_15-21-39-47.jpg,爵士貓吧 主食罐 80g貓罐頭 貓咪罐頭｜毛掌櫃⭐歡慶雙11-領券最高折1111⭐,全齡貓,主食罐,鰹魚,雞肉,蛤蠣,水,米,維他命E,牛磺酸,離胺酸,,,,,,,
39,DD2,0.5885449310318268,DD,29_15-21-39-47.jpg,爵士貓吧 主食罐 80g貓罐頭 貓咪罐頭｜毛掌櫃⭐歡慶雙11-領券最高折1111⭐,全齡貓,主食罐,鰹魚,雞肉,南瓜,水,米,維他命E,牛磺酸,離胺酸,,,,,,,
40,DRE1,0.24006644666301463,DRE,5_15-22-03-44.jpg,【DREAMSELECT】小老福濃湯罐 .鮪魚貓草 貓咪副食罐/貓飼料/貓副食/貓咪食品/貓罐頭,全齡貓,副食罐,白身魚,貓草,水,樹薯澱粉,蔬菜膠,果寡糖,牛磺酸,維他命E,,,,,,,
41,DRE2,0.25239200076324336,DRE,5_15-22-03-44.jpg,【DREAMSELECT】小老福濃湯罐 .鮪魚鮮蝦 貓咪副食罐/貓飼料/貓副食/貓咪食品/貓罐頭,全齡貓,副食罐,白身鮪魚,鮮蝦,水,樹薯澱粉,蔬菜膠,果寡糖,牛磺酸,維他命E,,,,,,,
42,DRE3,0.2288992342858034,DRE,5_15-22-03-44.jpg,【DREAMSELECT】小老福濃湯罐 .鮪魚蔓越莓 貓咪副食罐/貓飼料/貓副食/貓咪食品/貓罐頭,全齡貓,副食罐,白身鮪魚,蔓越莓,水,樹薯澱粉,蔬菜膠,果寡糖,牛磺酸,維他命E,,,,,,,
43,DRE4,0.37197336313210944,DRE,5_15-22-03-44.jpg,【DREAMSELECT】小老福濃湯罐 .鮪魚小銀魚 貓咪副食罐/貓飼料/貓副食/貓咪食品/貓罐頭,全齡貓,副食罐,白身鮪魚,小銀魚,水,樹薯澱粉,蔬菜膠,果寡糖,牛磺酸,維他命E,,,,,,,
44,F1,0.5680861951675442,F,2_15-21-41-26.jpg,本牧 earthmade 紐西蘭無穀全齡貓糧 人道非籠飼育雞 寵物飼料 貓飼料 貓咪飼料 貓糧 成貓飼料 全齡貓 幼貓,全齡貓,飼料,雞肉,雞肉粉,豌豆,木薯,雞脂肪,啤酒酵母,亞麻仁籽,天然香料,氯化鉀,氯化膽鹼,硫酸鎂,魚油,蔓越莓乾,奇異果,麥盧卡蜂蜜
45,FM1,0.33537523488998316,FM,17_15-21-41-54.jpg,Farmina法米納《天然無穀全系列》1.5kg 鹿肉蘋果 寵物飼料 貓咪飼料 幼貓飼料  結紮貓飼料,全齡貓,飼料,新鮮去骨雞肉(30%),脫水雞肉(28%),地瓜,雞脂肪,乾燥全蛋,新鮮魚,脫水魚,鱼油,維生素,葉酸,胺基酸,牛磺酸,左旋肉鹼,DL-甲硫胺酸,泛酸
46,FM2,0.047654397904140125,FM,17_15-21-41-54.jpg,【Farmina 法米納】頂級無穀貓飼料1.5kg 鴨肉哈密瓜 (貓飼料 貓乾糧 貓糧),全齡貓,飼料,去骨鴨肉(30%),脱水鴨肉(28%),豆澱粉,雞脂肪,乾燥南瓜(5%),乾燥雞蛋,新鮮魚,鱼油,維生素,葉酸,胺基酸,牛磺酸,左旋肉鹼,DL-甲硫胺酸,泛酸
47,FM4,0.052175212060728726,FM,17_15-21-41-54.jpg,【Farmina 法米納】頂級無穀貓飼料 羊肉藍莓 (貓飼料 貓乾糧 貓糧),全齡貓,飼料,新鮮去骨羊肉(28%),脫水羊肉(26%),地瓜,雞脂肪,乾燥全蛋,新鲜魚,脫水魚,鱼油,維生素,葉酸,胺基酸,牛磺酸,左旋肉鹼,DL-甲硫胺酸,泛酸
48,FM6,0.32134934726696995,FM,17_15-21-41-54.jpg,【Farmina 法米納】頂級無穀貓飼料1.5kg 雞肉石榴 (貓飼料 貓乾糧 貓糧),幼貓,飼料,新鮮去骨雞肉(30%),脫水雞肉(28%),地瓜,雞脂肪,乾燥全蛋,新鲜魚,脫水魚,鱼油,維生素,葉酸,胺基酸,牛磺酸,左旋肉鹼,DL-甲硫胺酸,泛酸
49,FS1,0.07226703281095423,FS,19_15-21-41-58.jpg,法國皇家/貓咪泌尿道處方飼料/CD/LP34/6kg,全齡貓,飼料,玉米麩,家禽肉,米,玉米粉,動物脂肪,水解動物蛋白,蔬菜纖維,甜菜泥,果寡糖,魚油,大豆油,蛋粉,蛋胺酸,水解甲殼素,牛磺酸
50,FUS1,0.09448207558181304,FUS,9_15-21-41-37.jpg,《FUSO Pets》福壽貓 菲尼斯貓飼料  貓咪 貓飼料 福壽貓食 9KG ，鮪魚、雞肉,成貓,飼料,精選玉米,糙米,雞肉粉,魚粉,珍珠大麥,番茄,甜菜,家禽脂肪,酵母粉,絲蘭精華,牛磺酸,綜合維他命,綜合礦物質,天然香料,
51,FUS2,0.05397947568955661,FUS,9_15-21-41-37.jpg,《FUSO Pets》福壽貓 菲尼斯貓飼料 六種口味 貓咪 貓飼料 福壽貓食 9KG【培菓寵物】，燻雞,成貓,飼料,精選玉米,糙米,雞肉粉,魚粉,珍珠大麥,珍珠大麥,乾甜菜,家禽脂肪,酵母粉,乾燥全蛋,絲蘭精華,牛磺酸,綜合維他命,綜合礦物質,天然香料
